Date,Data collector,treatment,Plot ID,Column,Row,Species ID,region,Province Info,Mortality Status,Height(cm),Width1 (cm) (widest diameter),Width2 (cm) (perpendicular to W1 measurement),cover (%),Canopy (avg),Area (m2),biomass_kg/m2,Notes,mort_status,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,1,BAPI,central ,,A,35,29,16,100,0.225,0.0398,0.025,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,2,LYCA,south,,A,29,23,16,,0.195,0.0299,0.0156,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,3,GRCA,central ,,A,15,23,17.5,,0.2025,0.0322,0.0087,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,4,STPU,central ,SB,A,22,24,17,,0.205,0.033,0.0131,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,5,STPU,central ,IRV,A,13,24,17,,0.205,0.033,0.0077,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,6,ARCA,central ,,A,13,10,9.5,,0.0975,0.0075,0.0017,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,7,EUMI,central ,,A,34,25.5,11,,0.1825,0.0262,0.016,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,8,LYCA,south,,A,30,33,12.5,,0.2275,0.0406,0.0219,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,A,9,BAPI,central ,,A,53.5,21,14,,0.175,0.0241,0.0232,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,B,1,PEAR,south,,A,50,25,8,,0.165,0.0214,0.0192,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,B,2,PEAR,south,,A,59,28,20,,0.24,0.0452,0.048,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,B,3,GRCA,central,,A,16.5,19.5,19.5,,0.195,0.0299,0.0089,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,B,4,STPU,central,SD,A,9,13,8,,0.105,0.0087,0.0014,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,B,5,ATLE,central,,A,14,9,6,,0.075,0.0044,0.0011,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,B,6,ATLE,central,,A,10,12,5,,0.085,0.0057,0.001,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,B,7,BRCA,central,,A,38,25,14,,0.195,0.0299,0.0204,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,B,8,SAAP,central,,A,35,31,29,,0.3,0.0707,0.0445,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,B,9,ISME,central,,A,16,23,10,,0.165,0.0214,0.0062,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,C,1,SPAM,south,,A,31,15,12,,0.135,0.0143,0.008,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,C,2,SPAM,south,,A,24,19,14,,0.165,0.0214,0.0092,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,C,3,BOBA,central ,,A,46,30,18.5,,0.2425,0.0462,0.0382,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,C,4,ENCA,central ,,A,11,29,3,,0.16,0.0201,0.004,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,C,5,ENCA,central ,,A,8,11,7,,0.09,0.0064,0.0009,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,C,6,COFI,central ,,A,5,10,3,,0.065,0.0033,0.0003,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,"N. Brehm, K, Etter",tarp,A,C,7,COFI,central ,,A,9,16,10,,0.13,0.0133,0.0022,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
